OBJECTID_1,SABL_PWSID,BOUNDARY_TYPE,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,ACTIVITY_STATUS_CD,ACTIVITY_DATE,OWNER_TYPE_CODE,COUNTY,POPULATION,REGULATING_AGENCY,FEDERAL_CLASSIFICATION,STATE_CLASSIFICATION,ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,ADDRESS_CITY_NAME,ADDRESS_STATE_CODE,ADDRESS_ZIP_CODE,SERVICE_CONNECTIONS,GLOBALID,AC_PHONE_NUMBER,AC_EMAIL,BOUNDARY_FILETYPE,DT_VERIFIED,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,Shape__Area,Shape__Length
1315081,CA1100445,Water Service Area,CA1100445,ORLAND MOBILE H.P.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,133,A ,1986/03/28 07:00:00+00,P ,GLENN,178,DISTRICT 21 - VALLEY,COMMUNITY,COMMUNITY,4265 ROAD 99 WEST,P.O. BOX 1721,ORLAND,CA  ,95963,54,{F55CAAE4-83B7-4B1C-90A1-A7EA2B9AB0AC},916-813-3158                  ,karbuckle3186@hotmail.com,WBT Tool,,Not Verified,,,36576.63873425,790.599914970197
1315082,CA3200054,Water Service Area,CA3200054,BIG MEADOWS SUBDIVISION,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,134,A ,2016/02/18 08:00:00+00,P ,PLUMAS,11,LPA62 - PLUMAS COUNTY,NON-PUBLIC,STATE SMALL WATER SYSTEM,BIG MEADOWS SUBDIVISION, ,CANYON DAM,CA  ,95923,18,{199034D6-B3C9-4323-A6D6-B12B0188AD6C},530-518-4956                  ,,WBT Tool,,Not Verified,,,330678.84246776,2164.95369862215
1315083,CA5201140,Water Service Area,CA5201140,ANTOINETTE MUTUAL WATER CO,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,135,A ,2016/08/03 07:00:00+00,P ,TEHAMA,25,LPA82 - TEHAMA COUNTY,COMMUNITY,COMMUNITY,507 ANTOINETTE COURT, ,RED BLUFF,CA  ,96080,12,{D30DB9D9-C822-4F7F-B8A0-8F799B6DA853},530-736-2321                  ,asanders6677@gmail.com.,WBT Tool,,Not Verified,,,84790.249516365,1169.71816579932
1315084,CA1910234,Water Service Area,CA1910234,WALNUT VALLEY WATER DISTRICT,SBUCKNAM,2020/10/20 03:20:27+00,epa\gisservice,2023/10/05 04:30:06+00,136,A ,1976/01/01 08:00:00+00,L ,LOS ANGELES,100449,DISTRICT 16 - CENTRAL,COMMUNITY,COMMUNITY,271 S. BREA CANYON ROAD, ,WALNUT,CA  ,91789,27479,{6E52A740-2BF8-4C1F-9D18-61B156A64D71},909-595-1268                  ,ehitchman@wvwd.com,WBT Tool,2023/10/04 14:00:00+00,Verified,E. Hitchman,Water System representative,115205380.685433,60654.8918583652
1315085,CA3710047,Water Service Area,CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,138,A ,1976/01/01 08:00:00+00,L ,SAN DIEGO,500,DISTRICT 26 - IMPERIAL,COMMUNITY,COMMUNITY,Campo Hills - County Public Works,3215 White Sage Point,CAMPO,CA  ,91906,222,{CFB7FE1E-10F3-46CF-93BB-87B6023C5C77},619-660-2008                  ,mike.bedard@sdcounty.ca.gov,WBT Tool,,Not Verified,,,2536636.37088934,11756.2554142118
1315086,CA0500032,Water Service Area,CA0500032,NEW MELONES LAKE MARINA,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,139,A ,2016/07/29 07:00:00+00,S ,CALAVERAS,100,LPA35 - CALAVERAS COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,6503 Glory Hole Road, ,ANGELS CAMP,CA  ,95222,2,{55358750-EAAC-4C6F-82FD-F35349548E54},209-785-3300                  ,darrin@distinctivemetals.com,WBT Tool,,Not Verified,,,37152.055446035,914.923715779024
1315087,CA1500452,Water Service Area,CA1500452,RIVERDALE VILLAGE,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,141,A ,1979/03/22 07:00:00+00,P ,KERN,750,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,811 ROBERTS LANE, ,BAKERSFIELD,CA  ,93308,290,{60EA68AA-A859-4E40-A818-67AF54C22433},661-379-1843                  ,maintenance@storzco.com,WBT Tool,2020/04/17 07:00:00+00,Verified,V. Nunez,Water System representative,229183.816255415,1908.21310346244
1315088,CA4400692,Water Service Area,CA4400692,ALLAN LANE WATER ASSOCIATION,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,142,A ,2015/01/29 08:00:00+00,P ,SANTA CRUZ,54,LPA74 - SANTA CRUZ COUNTY,COMMUNITY,COMMUNITY,283 Allan Lane, ,CORRALITOS,CA  ,95076,17,{ABF3FCEA-9196-4BD6-907F-F764B7A9290B},831-724-2590                  ,kristin.mosher51@att.net,WBT Tool,,Not Verified,,,144104.117276205,2015.56073146028
1315089,CA0800649,Water Service Area,CA0800649,MARGARET KEATING MAIN. & OPER.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,143,A ,1979/03/22 07:00:00+00,L ,DEL NORTE,120,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,,,,,,2,{EF545A08-D09D-473F-B6AE-55D44CE7CAFE},707-464-0254                  ,nulphrobert@gmail.com,WBT Tool,,Not Verified,,,136995.41168966,1807.6929050446
1315090,CA0800608,Water Service Area,CA0800608,TREES OF MYSTERY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,144,A ,1976/01/01 08:00:00+00,P ,DEL NORTE,200,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,P.O. BOX 96,15500 HWY 101 N,KLAMATH,CA  ,95548,9,{98A6A85E-AFED-4534-A61A-DF77D832CD42},707-482-2251                  ,tofm@treesofmystery.net,WBT Tool,,Not Verified,,,1050289.50927706,4737.20536486861
