Year,ZIP_CODE,Strata_Name,Count,Annotation_Code,Annotation_Desc
2011,90001,Total Population,246.0,,
2014,90001,Total Population,252.0,,
2016,90001,Total Population,258.0,,
2017,90001,Total Population,296.0,,
2018,90001,Total Population,265.0,,
2013,90001,Total Population,220.0,,
2019,90001,Total Population,275.0,,
2020,90001,Total Population,407.0,,
2012,90001,Total Population,265.0,,
2021,90001,Total Population,432.0,,
2022,90001,Total Population,350.0,,
2015,90001,Total Population,251.0,,
2013,90002,Total Population,248.0,,
2020,90002,Total Population,438.0,,
2018,90002,Total Population,267.0,,
2017,90002,Total Population,249.0,,
2019,90002,Total Population,252.0,,
2012,90002,Total Population,285.0,,
2015,90002,Total Population,267.0,,
2016,90002,Total Population,278.0,,
2022,90002,Total Population,366.0,,
2011,90002,Total Population,233.0,,
2014,90002,Total Population,230.0,,
2021,90002,Total Population,419.0,,
2011,90003,Total Population,325.0,,
2017,90003,Total Population,404.0,,
2018,90003,Total Population,372.0,,
2013,90003,Total Population,307.0,,
2016,90003,Total Population,360.0,,
2015,90003,Total Population,359.0,,
2019,90003,Total Population,375.0,,
2022,90003,Total Population,468.0,,
2020,90003,Total Population,541.0,,
2021,90003,Total Population,548.0,,
2012,90003,Total Population,313.0,,
2014,90003,Total Population,332.0,,
2022,90004,Total Population,330.0,,
2021,90004,Total Population,375.0,,
2016,90004,Total Population,290.0,,
2011,90004,Total Population,229.0,,
2020,90004,Total Population,395.0,,
2017,90004,Total Population,279.0,,
2015,90004,Total Population,273.0,,
2018,90004,Total Population,292.0,,
2013,90004,Total Population,254.0,,
2012,90004,Total Population,226.0,,
2014,90004,Total Population,235.0,,
2019,90004,Total Population,285.0,,
2016,90005,Total Population,171.0,,
2022,90005,Total Population,243.0,,
2020,90005,Total Population,254.0,,
2011,90005,Total Population,165.0,,
2021,90005,Total Population,256.0,,
2018,90005,Total Population,187.0,,
2012,90005,Total Population,151.0,,
2014,90005,Total Population,152.0,,
2013,90005,Total Population,186.0,,
2019,90005,Total Population,195.0,,
2017,90005,Total Population,175.0,,
2015,90005,Total Population,183.0,,
2017,90006,Total Population,305.0,,
2020,90006,Total Population,492.0,,
2022,90006,Total Population,350.0,,
2019,90006,Total Population,295.0,,
2011,90006,Total Population,238.0,,
2015,90006,Total Population,278.0,,
2012,90006,Total Population,259.0,,
2016,90006,Total Population,289.0,,
2021,90006,Total Population,426.0,,
2018,90006,Total Population,267.0,,
2014,90006,Total Population,238.0,,
2013,90006,Total Population,267.0,,
2016,90007,Total Population,137.0,,
2019,90007,Total Population,135.0,,
2015,90007,Total Population,144.0,,
2022,90007,Total Population,166.0,,
2017,90007,Total Population,143.0,,
2018,90007,Total Population,156.0,,
2021,90007,Total Population,193.0,,
2012,90007,Total Population,110.0,,
2020,90007,Total Population,192.0,,
2011,90007,Total Population,139.0,,
2013,90007,Total Population,123.0,,
2014,90007,Total Population,126.0,,
2012,90008,Total Population,315.0,,
2020,90008,Total Population,385.0,,
2022,90008,Total Population,409.0,,
2017,90008,Total Population,344.0,,
2021,90008,Total Population,426.0,,
2019,90008,Total Population,318.0,,
2014,90008,Total Population,316.0,,
2018,90008,Total Population,355.0,,
2015,90008,Total Population,335.0,,
2011,90008,Total Population,319.0,,
2016,90008,Total Population,314.0,,
2013,90008,Total Population,317.0,,
2015,90009,Total Population,,1.0,Cell suppressed for small numbers
2012,90009,Total Population,,1.0,Cell suppressed for small numbers
2011,90009,Total Population,,1.0,Cell suppressed for small numbers
2014,90009,Total Population,0.0,,
2019,90009,Total Population,,1.0,Cell suppressed for small numbers
2021,90009,Total Population,,1.0,Cell suppressed for small numbers
2018,90009,Total Population,0.0,,
2013,90009,Total Population,,1.0,Cell suppressed for small numbers
2017,90009,Total Population,,1.0,Cell suppressed for small numbers
2016,90009,Total Population,0.0,,
2022,90009,Total Population,,1.0,Cell suppressed for small numbers
2020,90009,Total Population,0.0,,
2013,90010,Total Population,16.0,,
2012,90010,Total Population,15.0,,
2018,90010,Total Population,28.0,,
2019,90010,Total Population,26.0,,
2011,90010,Total Population,15.0,,
2017,90010,Total Population,20.0,,
2020,90010,Total Population,25.0,,
2021,90010,Total Population,31.0,,
2016,90010,Total Population,22.0,,
2022,90010,Total Population,19.0,,
2015,90010,Total Population,23.0,,
2014,90010,Total Population,21.0,,
2021,90011,Total Population,671.0,,
2015,90011,Total Population,397.0,,
2018,90011,Total Population,399.0,,
2022,90011,Total Population,535.0,,
2017,90011,Total Population,441.0,,
2016,90011,Total Population,437.0,,
2011,90011,Total Population,361.0,,
2012,90011,Total Population,344.0,,
2014,90011,Total Population,351.0,,
2020,90011,Total Population,677.0,,
2013,90011,Total Population,360.0,,
2019,90011,Total Population,407.0,,
2018,90012,Total Population,224.0,,
2016,90012,Total Population,179.0,,
2012,90012,Total Population,196.0,,
2013,90012,Total Population,204.0,,
2019,90012,Total Population,197.0,,
2021,90012,Total Population,288.0,,
2020,90012,Total Population,279.0,,
2014,90012,Total Population,196.0,,
2011,90012,Total Population,167.0,,
2017,90012,Total Population,216.0,,
2022,90012,Total Population,242.0,,
2015,90012,Total Population,217.0,,
2013,90013,Total Population,93.0,,
2020,90013,Total Population,204.0,,
2012,90013,Total Population,89.0,,
2016,90013,Total Population,129.0,,
2018,90013,Total Population,161.0,,
2019,90013,Total Population,145.0,,
2014,90013,Total Population,109.0,,
2015,90013,Total Population,144.0,,
2011,90013,Total Population,100.0,,
2022,90013,Total Population,222.0,,
2017,90013,Total Population,138.0,,
2021,90013,Total Population,193.0,,
2022,90014,Total Population,121.0,,
2020,90014,Total Population,127.0,,
2016,90014,Total Population,81.0,,
2013,90014,Total Population,76.0,,
2015,90014,Total Population,83.0,,
2017,90014,Total Population,83.0,,
2018,90014,Total Population,84.0,,
2021,90014,Total Population,133.0,,
2012,90014,Total Population,78.0,,
2011,90014,Total Population,85.0,,
2014,90014,Total Population,86.0,,
2019,90014,Total Population,99.0,,
2022,90015,Total Population,135.0,,
2020,90015,Total Population,142.0,,
2019,90015,Total Population,94.0,,
2013,90015,Total Population,74.0,,
2016,90015,Total Population,84.0,,
2015,90015,Total Population,96.0,,
2017,90015,Total Population,82.0,,
2011,90015,Total Population,73.0,,
2012,90015,Total Population,69.0,,
2014,90015,Total Population,79.0,,
2021,90015,Total Population,126.0,,
2018,90015,Total Population,83.0,,
2011,90016,Total Population,309.0,,
2014,90016,Total Population,346.0,,
2013,90016,Total Population,348.0,,
2019,90016,Total Population,323.0,,
2020,90016,Total Population,378.0,,
2012,90016,Total Population,317.0,,
2017,90016,Total Population,353.0,,
2015,90016,Total Population,375.0,,
2016,90016,Total Population,310.0,,
2018,90016,Total Population,360.0,,
2022,90016,Total Population,389.0,,
2021,90016,Total Population,437.0,,
2020,90017,Total Population,202.0,,
2013,90017,Total Population,84.0,,
2019,90017,Total Population,110.0,,
2016,90017,Total Population,131.0,,
2014,90017,Total Population,91.0,,
2021,90017,Total Population,186.0,,
2012,90017,Total Population,91.0,,
2017,90017,Total Population,119.0,,
2018,90017,Total Population,107.0,,
2022,90017,Total Population,174.0,,
2015,90017,Total Population,96.0,,
2011,90017,Total Population,79.0,,
2015,90018,Total Population,326.0,,
2013,90018,Total Population,368.0,,
2016,90018,Total Population,380.0,,
2014,90018,Total Population,361.0,,
2011,90018,Total Population,364.0,,
2020,90018,Total Population,453.0,,
2022,90018,Total Population,424.0,,
2012,90018,Total Population,379.0,,
2021,90018,Total Population,495.0,,
2018,90018,Total Population,405.0,,
2019,90018,Total Population,346.0,,
2017,90018,Total Population,345.0,,
2017,90019,Total Population,389.0,,
2022,90019,Total Population,455.0,,
2020,90019,Total Population,511.0,,
2014,90019,Total Population,378.0,,
2013,90019,Total Population,396.0,,
2016,90019,Total Population,425.0,,
2015,90019,Total Population,423.0,,
2012,90019,Total Population,401.0,,
2021,90019,Total Population,523.0,,
2019,90019,Total Population,394.0,,
2011,90019,Total Population,385.0,,
2018,90019,Total Population,430.0,,
2014,90020,Total Population,123.0,,
2016,90020,Total Population,136.0,,
2019,90020,Total Population,151.0,,
2022,90020,Total Population,191.0,,
2018,90020,Total Population,156.0,,
2015,90020,Total Population,159.0,,
2021,90020,Total Population,179.0,,
2013,90020,Total Population,113.0,,
2012,90020,Total Population,133.0,,
2011,90020,Total Population,137.0,,
2020,90020,Total Population,197.0,,
2017,90020,Total Population,138.0,,
2019,90021,Total Population,32.0,,
2022,90021,Total Population,42.0,,
2021,90021,Total Population,47.0,,
2012,90021,Total Population,17.0,,
2020,90021,Total Population,50.0,,
2016,90021,Total Population,28.0,,
2014,90021,Total Population,20.0,,
2011,90021,Total Population,21.0,,
2013,90021,Total Population,29.0,,
2015,90021,Total Population,22.0,,
2018,90021,Total Population,33.0,,
2017,90021,Total Population,31.0,,
2020,90022,Total Population,523.0,,
2012,90022,Total Population,312.0,,
2015,90022,Total Population,337.0,,
2021,90022,Total Population,532.0,,
2022,90022,Total Population,429.0,,
2011,90022,Total Population,361.0,,
2019,90022,Total Population,377.0,,
2017,90022,Total Population,371.0,,
2013,90022,Total Population,365.0,,
2016,90022,Total Population,345.0,,
2014,90022,Total Population,317.0,,
2018,90022,Total Population,441.0,,
2013,90023,Total Population,231.0,,
2015,90023,Total Population,237.0,,
2016,90023,Total Population,235.0,,
2021,90023,Total Population,347.0,,
2022,90023,Total Population,280.0,,
2011,90023,Total Population,194.0,,
2020,90023,Total Population,372.0,,
2019,90023,Total Population,240.0,,
2017,90023,Total Population,244.0,,
2014,90023,Total Population,217.0,,
2012,90023,Total Population,227.0,,
2018,90023,Total Population,243.0,,
2022,90024,Total Population,271.0,,
2020,90024,Total Population,261.0,,
2017,90024,Total Population,238.0,,
2013,90024,Total Population,254.0,,
2012,90024,Total Population,238.0,,
2019,90024,Total Population,191.0,,
2016,90024,Total Population,254.0,,
