WATER_SYST,ZIP_CODE
CA1100445,95963
CA3200054,95923
CA5201140,96080
CA1910234,91709
CA1910234,91748
CA1910234,91765
CA1910234,91789
CA1910234,91792
CA1910234,91766
CA1910234,91791
CA1910234,91768
CA1910234,91724
CA3710047,91906
CA0500032,95222
CA1500452,93308
CA4400692,95076
CA0800649,95548
CA0800608,95548
CA4901165,95407
CA2010800,93610
CA1400504,93545
CA5410801,93257
CA4901143,94952
CA5400631,93223
CA5400631,93292
CA3301943,92223
CA3301943,92320
CA0707617,94549
CA4901206,95448
CA2702180,93908
CA3710037,92019
CA3710037,91901
CA3710037,92020
CA3710037,92119
CA3710037,92021
CA3710037,92071
CA3710037,92040
CA4810026,94533
CA0202562,95364
CA0202562,44
CA4400710,95003
CA2702229,93908
CA2702229,93907
CA0310005,95665
CA0310005,95642
CA2600547,93546
CA1210007,95536
CA1400506,93514
CA1200793,95570
CA2702679,93907
CA3310017,92373
CA3310017,92320
CA3310017,92399
CA0810303,95548
CA0810303,95531
CA1400037,93545
CA4410001,95060
CA4410001,95006
CA3700041,91917
CA3700041,91963
CA3910020,95215
CA3910020,95212
CA3900927,95366
CA3900586,95220
CA1000003,93664
CA1400088,92389
CA5800814,95935
CA5800814,95925
CA5800814,95922
CA5200534,96021
CA5200534,96080
CA3010079,92630
CA3010079,92618
CA3010079,92651
CA3010079,92656
CA3010079,92653
CA3010079,92691
CA3010079,92637
CA4400711,95033
CA2300606,95482
CA2300606,95470
CA4901287,95448
CA2810007,94599
CA2810007,94558
CA5800823,95935
CA5000433,95361
CA4400604,95006
CA4400526,95033
CA4400526,95066
CA2700970,93927
CA3110150,95843
CA3110150,95626
CA3110150,95747
CA3110150,95668
CA4901336,95448
CA4800511,94585
CA5800832,95901
CA2701630,93907
CA3600399,92307
CA5200255,96021
CA4900981,95441
CA4900981,95425
CA3400179,95660
CA1500485,93560
CA4400825,95018
CA4400717,95073
CA4400726,95073
CA4400774,95076
CA4400823,95076
CA4400851,95076
CA4400764,95076
CA1000097,93730
CA1000097,93636
CA1000097,93626
CA4901411,95448
CA3010068,92705
CA3010068,92869
CA3600087,92352
CA5400602,93257
CA4500038,96059
CA5000071,95361
CA5603302,93010
CA1910194,92821
CA1910194,91748
CA1910194,90631
CA1910194,91745
CA1910194,91744
CA1910194,91765
CA1910194,91789
CA1910194,91792
CA4901384,95472
CA5400744,93271
CA4400557,95076
CA2700541,93907
CA2700541,95012
CA1510702,93524
CA1900901,91702
CA0707523,94511
CA5210002,96035
CA4400907,95017
CA2900502,96111
CA4410016,95018
CA3301756,92592
CA1010062,93626
CA4400908,95033
CA4400750,95003
CA4410304,95018
CA4400753,95003
CA4400758,95076
CA3601182,92301
CA4400611,95073
CA4400611,95065
CA4400611,95066
CA5602108,93036
CA4400902,95076
CA1300546,92283
CA3100528,95650
CA5200535,96001
CA2400232,95301
CA1210019,95547
CA1210019,95540
CA0400008,95928
CA3900596,95240
CA1200648,95540
CA5000060,95361
CA1000249,93657
CA5010010,95307
CA5010010,95326
CA5010010,95358
CA5010010,95351
CA5010010,95354
CA5010010,95350
CA5010010,95355
CA5010010,95357
CA5010010,95368
CA5010010,95356
CA0900536,96150
CA4901366,95476
CA2702405,93924
CA0901229,95720
CA0901229,95726
CA2700703,93907
CA0707502,94513
CA0707502,94531
CA0707502,94509
CA0707502,94565
CA4700542,96067
CA1910158,91732
CA5403042,93256
CA1502680,93307
CA3900606,95215
CA5400735,93215
CA1400505,93526
CA4901122,95441
CA4901267,95472
CA1800512,96137
CA0900654,96150
CA1110001,95963
CA0706059,94561
CA2700983,93465
CA3600064,92404
CA4810011,95687
CA3301031,92220
CA0900663,95721
CA0900663,96150
CA0500055,95223
CA0790007,94553
CA4010027,93426
CA4700521,96094
CA0400137,95941
CA4400558,95076
CA0210002,95666
CA0210002,96120
CA0210002,96150
CA3301643,92561
CA3910018,95304
CA0510009,95223
CA1900636,93535
CA5000015,95361
CA3900837,95220
CA2701550,93960
CA3400232,95638
CA5602110,93041
CA2701009,93920
CA4100536,94021
CA4100536,94060
CA0202549,95223
CA4400528,95033
